Nest area,NDVI,Temperature,Rainfall,Health Index
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,7989,25.93,0.0,1
